liaison,service,nb_circules,nb_annulation,nb_retard,nb_retard_sup_60,taux_retard,retard_moyen,taux_sup_60,taux_annulation,cause_Externe,cause_Infrastructure,cause_Gestion trafic,cause_Matériel roulant,cause_Gestion gare,cause_Voyageurs
PARIS LYON → MARSEILLE ST CHARLES,NATIONAL,51383,1141,5561,1223,10.82264562209291,47.29035886903356,2.3801646458945567,2.172340263498591,23.254959101253235,18.781964490683674,13.030298673670243,26.76195693876925,9.990453991005397,8.180366804618208
PARIS MONTPARNASSE → POITIERS,NATIONAL,50733,1766,5456,567,10.75434135572507,28.497697541478548,1.1176157530601383,3.363873597592335,17.332947486754918,19.947353704983,17.563488557056463,23.44650942665125,12.027063130186,9.682637694368383
PARIS LYON → MACON LOCHE,NATIONAL,21430,620,2304,296,10.751283247783482,34.007675058797744,1.3812412505832945,2.811791383219955,12.989307355496083,15.341752932483157,14.317125710743127,39.74972164163869,11.780571416313755,5.821520943325202
MULHOUSE VILLE → PARIS LYON,NATIONAL,28056,718,2914,528,10.38637011690904,37.94402310717136,1.8819503849443968,2.4953082644053657,24.438918397550747,23.461485664458255,26.788422587041204,15.999852914471143,4.287372997886791,5.023947438591865
PARIS MONTPARNASSE → QUIMPER,NATIONAL,23237,978,2386,475,10.268106898480871,45.58402875115713,2.044153720359771,4.038818913896345,30.374288582387305,25.003474536092103,9.10046423341542,18.607905452000313,7.6481799002041315,9.265687295900731
GENEVE → PARIS LYON,INTERNATIONAL,20175,533,2054,422,10.18091697645601,43.93896056459803,2.0916976456009913,2.5738844890863435,27.12632424535594,26.050743565085416,20.551503260681965,14.813265822997163,7.428494877239798,4.029668228639732
NANCY → PARIS EST,NATIONAL,26949,772,2742,314,10.174774574195702,30.821529297633845,1.1651638279713532,2.7848923199018794,21.793701828256747,22.77169491790604,21.377235406793172,18.971031542245733,8.637104672621703,6.449231632176594
PARIS LYON → BESANCON FRANCHE COMTE TGV,NATIONAL,15509,438,1565,265,10.090914952608163,37.06642172566134,1.7086852795151202,2.7465981062268767,20.159694572454192,18.79250568363511,15.394252409389017,28.62489270041554,11.353679626828347,5.674975007277799
DIJON VILLE → PARIS LYON,NATIONAL,35853,914,3613,675,10.077259922461161,38.439353261837255,1.882687641201573,2.485924878287595,22.759154772748033,26.447672127308103,25.53270709591267,16.11096421381433,5.194218113042945,3.9552836771739215
PARIS MONTPARNASSE → ST MALO,NATIONAL,9376,365,942,116,10.04692832764505,33.33996815291932,1.2372013651877134,3.7470485576429526,22.637164883666212,28.741069547716503,12.319199055888513,21.122093113963118,7.041064447145881,8.139408951619773
QUIMPER → PARIS MONTPARNASSE,NATIONAL,23694,864,2341,465,9.880138431670465,44.104211882446606,1.96252215750823,3.518201807964818,33.050185974012244,29.248367442281477,9.626066613959901,16.6736756053887,5.688024905147131,5.71367945921053
PARIS EST → STRASBOURG,NATIONAL,52268,1310,5145,790,9.84349889033443,37.83278072487913,1.511441034667483,2.445033409235134,21.635428749776104,13.126709857668734,10.235198771413547,32.85942151274362,13.753901185048404,8.389339923349585
PARIS MONTPARNASSE → LA ROCHELLE VILLE,NATIONAL,20453,707,1942,314,9.49493961766,37.60152863090554,1.5352271060480125,3.341209829867675,23.34523756648535,20.76908313900985,14.354567839501687,20.829288731429422,8.402782479209842,12.29904024436385
